review,rating
"We had an excellent customer service experience with Kevin the other day.
The time he spent with us on the phone saved us from returning the SkyBell and allowed us to purchase a new part needed to successfully install our new SkyBell. It is functioning perfectly now, and we are very glad and relieved. We are satisfied with the product, after initially jumping through some hurdles to get it installed. Thanks Kevin!",1.0
"This is not an actual replacement for the charger that comes with the Fitbit Flex. It does not have the reset button, which is critical for resetting your Fitbit. This will only charge your device. If you've lost the original charger, you cannot use this to reset your device. While advertised only as a charger, I feel like it was misleading and irresponsible for the product description to omit this fact. You would think that their quality assurance process would include checking to make sure their product met OEM specifications. Very disappointed.",0.0
Very easy to use right out of the box. Plugged it in and transferred my whole hard drive to it!,1.0
"One word sums it up ""WOW!""  I bought a the HDDVD version of ""Phantom of the Opera"" plus i owned a regular DVD version.  When i compared them on the new HDDVD player i could not get over the change in picture.  It was like watching this video on 35mm film.  The quality is excellent.  I have it connected to my In Focus Video Projector on a 100"" screen.  I was totally blown away.  The unit i have for my sound system is a 7.1 Denon which to me is perfect.  The new sound quality on the HDDVD is also amazing.  Running a regular DVD on this new HDDVD unit is also better quality.  It's a win win situation.  I'm sure in time the price, like everything else, will come down.

You will not be disappointed in this unit.  If you have an HDTV you best get the HDDVD player.  You'll be missing a lot if you don't.  I would give this unit 100 stars if i could.  Once your connected, it's easy to run.  The new features are also great and there is just so much to choose from.  Happy Watching!!!!!",1.0
"I really just wanted a rolling laptop bag (which doesn't seem to exist?), whereas this is a small suitcase that has sleeves for a couple laptops in the top.  I generally have the bag empty and two laptops in the sleeves, which means the ""door"" is really heavy and there's nothing underneath holding up the weight, which puts a lot of stress on the zipper.  Also, I'm using it every day to schlep these darned (heavy) laptops around, so it's getting a lot of use.  I'm not sure how long the zipper will last, so I might switch to putting the laptops in the body of the suitcase.  All in all, though, it looks good, holds laptops easily, rolls well, handle extends and collapses readily, etc.  For the price, it's better than I expected.",1.0
"Drive failed after around 8 months of use. During that 8 months, it was perfectly reliable, but now I've lost all my data. I DO NOT RECOMMEND THIS DRIVE.",0.0
At first we were a little disappointed because it was not working with the tablet until we had to go and get an adapter to connect it. Once we got the correct adapter it was great. So easy to use and so handy with our 7in tablet makes things much easier to type on the tablet. The stylus that comes with it is a downfall because it did not work at all with the tablet. Other than that everything else is great.,1.0
"I've been using this desktop for a few months now and so far I haven't had any problems with it- it's nice and efficient!
Highly recommend doing business with seller. At the time I placed my order, by accident I order 2 instead of one  because I was buying several things at the time- I didn't realized it until I received both! I contacted seller immediately and explained to him my situation, he was so understanding he even paid for return shipping!
highly recommend it! would give more stars if I could!",1.0
Too narrow. They grip on the side of my face and are too tight and narrow. Cannot loosen. Won't be an issue for girls with narrow faces.,0.0
Used this on my qsee 8 channel system.  There is zero night vision.  Image quality is no as good as full size qsee cameras but for the price works great to monitor a room in my house.  Sound has a slight hum to it but not bad.,1.0
"Got finally working with my PC but did not communicate with car computer.
Also used wireless version same results, got better mores expensive item that works.",0.0
"Ordered it from TopWireless.
Took about 3 weeks until i got it, i do live in The Netherlands in Europe.

I like the HTC Flyer very much, it's good in all ways, and i use it more then my laptop now adays.

I't had a small dent when it arrived, which made me devistated.",1.0
"To clarify from the start, this is not a review of the entire camera itself, but rather an alert to potential buyers of the Lumix ZS25.  I just purchased the camera and discovered that it does NOT have stereo microphones as Amazon's detailed description page clearly states!

This may not be a problem for some, but the ZS19, ZS20 and ZS30 have stereo mics and I definitely wanted this feature in the ZS25!  Panasonic, what's wrong with you??  Why would you offer this otherwise attractive camera with full HD video and not stereo audio??  I'm baffled by that one.

So do not take this as a review of the remaining features of the camera itself, but just beware that it records mono audio and the product description is a lie!",0.0
"Received my first purple 8GB on 5/2/14. it was recognized on my mac and pc.  Put it on my key chain, It failed on 5/11/14.  Quickly received an 8 GB replacement on 5/14/14.  It was recognized on my mac and pc.  Put it on my key chain, It failed on 5/18/14.  As of this date, 158 reviewers give it 5 stars, 108 reviewers give it 1 star, due to failure.  It must be the luck of the draw.  Are you feeling lucky?",0.0
"Used it maybe twice and then it broke by not reading any micro sd cards like if they were not inserted.
Very cheap plastic and PCB.
I recommend getting the Rocketek Aluminum Micro SD Card Reader for same price<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Rocketek-Aluminum-USB-3-0-Portable-Memory-Card-Reader-Adapter-for-Micro-SD-Card-TF-Card-Reader-Adapter/dp/B06XTQZS4F/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Rocketek Aluminum USB 3.0 Portable Memory Card Reader Adapter for Micro SD Card / TF Card Reader Adapter</a>",0.0
So far 3 of the 5 cables are dead-on-arrival. One of them works only when I bend the cable just right. Very strange. I've tested them in several devices and several USB ports.,0.0
"Bought this in February 2017, but have only used it a few times.  I am about to use it with an HGST NAS drive to stream movies across my network where it will get plenty of use and will report any issues.  Reason I docked one star is that it is not picked up on my Vostro 3550 with Windows 10, whether on the 2.0 or 3.0 port.  Nothing at all.  Otherwise, it has worked well on my other computers.",1.0
The item I ordered was supposed to be in good condition but it was very scratched.,0.0
Doesn't fit my model as advertised.  Ordered over holiday didn't know till i got home and opened it when it was too late to return,0.0
"Frame was ok upon receipt. Viewing angles are not very good but still I felt OK about the purchase. Of course 2 days after the return window expired, a vertical pink line appeared down the middle of the frame. Since I wasn't able to process a return, I went to the Micca website and entered a service request. Too bad they did not even feel compelled to respond. I have to recommend against purchasing this (or any product) from Micca due to their lack of responsiveness, poor product quality, and apparent disinterest in customer satisfaction.",0.0
"The first thing is you need to realize that is a 17 inch Laptop, so you cannot compare it to a 13 inch one.
For its size, its not that heavy. It's ok, for travelling for a short amount of time.
Excellent for using it in a house or at work.
I carry mine around my house (in my bed, in the kitchen, in the terrace) and its very easy to transport.
The performance is great. I erase the Windows Vista it came with and upgraded to Windows 7 and is working as a charm.  Windows XP works great as well.
The screen is a delight!! as crisp as an LCD TV. And the blue ray works great.
no noise and not too much glare.
I love it when I'm using graphics software, specially my Photo editing ones (A.Photoshop)
The performance is great overall!! is a good buy!.
The only thing is the battery, that last a little less than 2 hours...
but other than that, It's a great buy!",1.0
"I have a client concerned about a reliable backup for his office server. Over the past few years he had worn out two WD My Books.

After some research, we settled on the Synology Disk Station 2-Bay, populating it with two 500GB drives in a mirrored configuration.

After setting it up, we installed it on the network, and it's been working flawlessly.

Highly recommended.

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Synology-Disk-Station-2-Bay-Diskless-Network-Attached-Storage-DS209-White/dp/B00275G0LO/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Synology Disk Station 2-Bay (Diskless) Network Attached Storage DS209 (White)</a>",1.0
"Amazingly this works as advertised.  Setup was simple and quick...no hassle.  In less than an hour I had everything installed and working.  The actual monitoring does not start until 3 days after you activate.  This is to allow you time for testing the system without notifying the police.  Once that three days is up you'll get an email telling you that your system is now fully monitored and the police will be notified in the event of an alarm breach.

The only complaint I have it that the extra horn we ordered would not work at first.  I opened it up and they had only installed 3 batteries (takes 4).  I added an extra battery and it still did not work.  The three that were in it were dead...after replacing those everything worked fine.  Despite this slight inconvenience I still felt this was worthy of a 5-star rating due to the ease of setup and the basic fact that it works as advertised.",1.0
i loved it it worked perfectly fine and looked perfectly fine. it met my expectations and then some. really great.,1.0
"Okay so by the time I got a chance to order the deal of the day the Harman Kardon headphones were sold out. So, they replaced them for this.  Whoever made the decision to replace these headphones for the Kardon's had to be sitting back laughing and thinking, ""I am going to straight piss some people of today!!!""
Simply put the quality of this headphones is extremely cheap. I was highly anticipating my noise canceling headphones only to get them and find that the monitoring light ( that is supposed to turn red) does even work. When trying to use them as regular headphones I hear an unbelievable amount of static. Amazon is messing up their  good name by putting these headphones on the website.",0.0
"A good basic adapter at a decent price.  I haven't had it long, but it seems to work fine.",1.0
"I never write reviews but this thing has caused much frustration so I want to try and save others!! My husband bought this thing to use on our TV to stream netflix. Should have read reviews first because this thing is awful! Netflix worked for awhile, now every time we try to watch something an error message occurs. We've rebooted, uninstalled then re installed, updated ... everything, and NOTHING works. BIG FAT waste of money!",0.0
I know it a looooooong time ago but my sister still have that and it's still good. She love purple and she like butterflies too.,1.0
"I have been using Linksys wireless router since last 5 years. I have upgraded from my old one (which is still in excellent working condition) to the current WRT54GL which is more powerful version. I had to call the Linksys customer care as one of my laptops was not connecting wireless. The Linksys customer care personal made me walk through different troubleshooting steps patiently for more than an hour and finally got it fixed !! (the internet cable guy has changed my laptop MAC IP auto find settings :()

Its been 2 months now and it works great. I use three different laptops at home and they all connect at the same time at one point or other (my wife and kid use at same time) and still give a seamless connectivity. Great product and great service !!",1.0
"As others have written, this cord halves the audio output. It has a terrible hum to it when you turn the volume up, and I lost all of the low end (bass) from the signal. Wouldn't recommend unless you are using cheap headphones.",0.0
"This is an incredible microscope. Very high tech for the price. My 11 year old daughter and myself have really enjoyed collecting different small items to place under scope and are always in ""Awww "" moment.",1.0
"After waiting the skin to settle, I was excited to try out the new skin on my Note 8.  To my disappointment, the pen stroke are not smooth and requires much more force to write.  After trying several sketch apps with similar effects, I am peeling the skin off and going back the smooth penning with my stylus.

Like other reviewers said, good for touch and good for protection but not good for stylus writing.
Great instruction video and I would consider this brand for non-stylus surface.",0.0
This amp is a joke the 2000watt max is not even close. It barely moves my sundown subwoofer. Have this amp turned all the way up and barely moving my 500 watt rms sub at 4 ohms. Watched these amps clamped out only hitting 130watts. On top of all of that when I ordered this I originally had selected the d-class amp and reverted back to another amp.,0.0
"I bought this recorder to use as a audio journal and to jot down ideas for future writing projects. The folder function makes it easy to divide up these ideas and retrieve them.

I am pleased with the sound quality as I don't expect it to be recording studio quality.  It does the job for me.

I do agree with others about the issues with noise from handling, the small switches (I often have to put my glasses on to see the switches!), and the sudden battery popping out bit.

But all in all, I like the light weight, the features, and the amount of recording time.

Much cheaper to buy this here than at Best Buy.",1.0
"just received this case and it is just right for my grandaughters kindle fire, now we don't have to worry abut it",1.0
This stereo DID NOT WORK I WAISTED MONEY ON SOMETHING THAT NEVER WORKED I WANT MY MONEY BACK OR A REPLACEMENT!!!!!!!!!!,0.0
"Go tthis for my 11 year old.  She loves the color and fits perfectly on her head.  Also, sound leveling/reduced makes it so its not blasting in her ears.  She uses it for her computer and games.  Better than in the ear headphones.",1.0
"I ordered the 16gb because I wanted to listen to music while I was running and I know I was going to listen to music if i was going to travel. I also got a heart rate monitor so I could monitor my heart while I was running and I got a foot pod even thought it has a GPS and a pedometer.  This is the best sports watch/mp3 player in the market.  I ordered a blue tooth headset the jaybirdgear freedom sprint  that is sweat guaranteed.  I can schedule runs or just create runs on the fly.  You can also do interval runs so can either tap the watch to start one interval or the electronic voice will tell you when to start a mile and when to walk.

You also get a website login so you can dump all your running data and it will graph all of it so you can analyse it.  This watch is definitely ahead of all those so called smart watches.

You can get text messages,facebook messages and take phone calls via the watch, this via bloothtooth connection to you cell phone.",1.0
Stopped working 1 day after I was able to return it.  After working great for 1 month all of my iPhones say unsupported.,0.0
"The unit itself is fine, BUT . . . mine came without a usb cable and when I tried to contact the company I found out that none of the supplied numbers worked anymore and the e-mail address didn't work either.  I called Amazon and was finally told that the company had gone out of business in 2013.  IF you get all of the pieces, it is a good unit for the price.  If you don't get all the pieces, there is no recourse other than returning it to Amazon!",0.0
"Works well and seems to be of good construction. My only gripe is that it is really deep. I first put it in a standard box but there wasn't the clearance at the back, so I had to go for a deep box to accommodate the wires.",1.0
It came in the mail and it worked for a day now it won't turn on,0.0
"I bought one not long ago, lost it at the gym... then bought this and I actually think it's better than the new one (was louder) and the accent was not in British English (which was the only option). Sometimes it has static (this was same with the new one too, so I think it's something funky part of the product), not sure why (this is why it gets 4 stars instead of 5). Regardless, I would recommend to get it and it's cheaper. The box was all original packaging too. I know they said it can be different packaging.",1.0
"As a new podcaster, this microphone is substantially much better then anticipated. Provides high quality audio and very low background noice. Was hoping for a higher quality stand but for the price, very good product!",1.0
"if you are looking for playing game in 4k 60hz with air cooling solution this one is the perfect card for this resolution the card is quiet and 2 way sli is the right choice for 4k gaming even one card in game like skyrim in single 4k monitor vsync on 60hz via Dp v1.2 heavy moded you will get 60 FPS or even more if vsync off  but sli is much better to avoid FPS  rare drop only 2 or 3 FPS will drop in skyrim most of the game runs great and in a playable FPS but games like crysis or metro you will need 2 of this card

my rig is :

cpu / i7 4960x
ram / g skill trident x 2400 32gb
GPU / 1x EVGA GeForce GTX 780Ti 3GB classified , i will sli it later
motherboard / Asus Rampage IV Black Edition EATX DDR3 2133
PSU / corsair ax1200i platinum",1.0
Very difficult to get firmware updates from Qlogic site. Card crashes CentOS 7.2 when attached to fiber - reason unknown at this time.,0.0
"Not the size pictured.  The one that I was shipped was a larger size (not PCI-E?), so I had to cut off some metal to make it fit.  Then it seems to have fried my computer.  Took it out and my computer won't turn on now...",0.0
"Very disappointing. The jack is too big to fit while I have a case on my phone. The remote only works sometimes to skip tracks. The shape-able cord that is supposed to keep the buds in your ear don't work very well. The little pamphlet that comes with them says they want to hear from you and want your 100% satisfaction, but when I sent them these concerns their response was, ""Thank you for the feedback"". That's it.",0.0
"Especially for the price.  It fits perfectly, looks great and feels like fine leather. It is well thought out as far as functionality. Bends in all the right places. Every cutout is EXACTLY where it should be.. No pushing or squeezing to put the charger, or USB cables where they need to go. It is way better than I expected it to be for the price. DEFINITELY A KEEPER!!",1.0
I tried the headphones on and they were not snug at all.  They did not lay flat and would lift off my ears. I wish there was a way to adjust the looseness. I returned to get my money back.,0.0
"What a complete and total waste of money.  I would have expected better quality from Linksys than this, particularly for $200.  It drops constantly, and needs to be rebooted daily, sometimes multiple times.  We are running two laptops (both about 40 feet away from the router), a Roku (which we unplug most of the time to try to lessen any activity going through the router), two iPhones, an iPad (off during the day), a Samsung Tab (off during the day) and a Canon printer.  Seems like it should have been able to handle it - the 5g disappears completely from the wireless network most of the time. We're not streaming video - we both work from home and are typically only accessing Outlook, internet sites for research, and Yahoo mail.  Very disappointed in Linksys - their phone support was no help at all - getting ready to purchase another router from a different vendor after not even six months of service.",0.0
"Just got my Google TV. Was trying to set it up with an amp that didn't have HDMI input. The Sony Google TV only has HDMI and optical output. Was depressed - pretty sure I couldn't get Google TV to work without needing to replace my amp. As a last attempt, looked at the back of my amp and was delighted to see that it accepted optical input....

Ordered this cable for < $3 and set thing up - everything works beautifully! Great sound quality!",1.0
Not sticky enough.  I bought another hassle free protector (different brand) for a Galaxy Tab and it was much better than this.  They do give you everything you need to clean the screen and install it properly but it peels up much too easy.  I haven't had one problem with the protector on my other tablet.  I would not buy this product again.,0.0
"Great product but itty bitty. I'm afraid I'll lose it somewhere so I keep it plugged into my Galaxy Tab USB adapter. This thing is very tiny which is good if you are conserving space but problematic as you would never know it fell out of your pocket, bag, pouch, etc. If you get this, keep it handy or someone else will find it on an airport floor.",1.0
"This thing worked ok the first few months, then it started getting spotty with my iPhone. Not the phone because it worked on wifi verywhere but my house. Then other devices started having issues and I knew we had a problem. I tried relocating it, spent money and time on new wires and installs and nothing. Finally switched back to a netgear setup and once again have excellent connection all through my house. Also worth noting the 5ghz channel was almost never usable on this thing as one plaster wall is enough to make it unstable. The netgear signal blasts right through. Never again will I fall for saving 40 bucks taking a chance in some off brand crap that will become $70 Garbage a year later. Don't waste your money. You can do significantly better for slightly more.",0.0
"I am not pleased with the product at all.  It worked like advertised twice,  The third time I could not change/update titles nor could I add their supplied sound.  Attempting to add sound would create a major problem and athe status would flicker and quit responding.  After a number of uninstalls and reinstalls I avoided the above problems and it would not render at all, just sit there.  I have checked the Q&A sections without fnding any resolution.  I have e-mailed and have not received even a hello.  I do not believe thay are customer orientated AT ALL.  I would not recommed this product unless you are very good at debugging commerical software.",0.0
"Readily paired with my MacBook Air, but not with my Moto Droid X.
Sound quality is substandard at best. This is absolutely useless for music.
Cheap- but still a complete waist of money.",0.0
"I tried using the solar charger without batteries, and after charging for about 8 hours in full summer Florida sun, it only ran 20 minutes.  The plastic hand crank is very flimsy and it takes forever to get a charge that lasts for more than 5 minutes.  The tuner made it hard to lock on a station and reception was very poor, even for local stations.",0.0
"I believe I received a defective product.  The connection to audio jack is a joke.  When walking and listening to music on my phone, either the right or left side will cut out, and I'll have to wiggle the wire to get it to come back.  Really annoying.  Also while listening at my desk I've gotten a slight shock.",0.0
"This headphones make a mess when you try to retract them. You have to pull both sides, feel for the right tension and then feed it back on to the wheel. It get's knotted and never retracts all the way back in, leaving at least two or more inches dangling. Super frustrating.",0.0
"The picture quality was terrible. The audio is so low you have to put your ear up to the headrest to hear anything. They produce a really loud static-like sound when earphones are used. AV2 has no audio. The look of the product is not bad. The product in general is not good and I would not recommend them to anyone. They are bad even for the cheap price! The ones that attach to your seats are a much better quality all around, that upsets me.",0.0
"This was cheap, so I thought I would give it a shot, no go.  This thing doesnt do the job.  Spend the extra cash for a better product.",0.0
"The New Roku 3 is a significant upgrade from the Roku Streaming stick I used for the last 6 months. The device is still very small, but its navigation response times are far faster, and I like having the option of a wired Internet connection.

The headphones feature has also been surprisingly awesome. I didn't care about the feature when I bought this product, but the audio quality on it is great and I now find myself using it all the time (e.g., when someone is trying to sleep in a nearby room). As another reviewer said, ""it's the solution to the problem you didn't know you had.""  One downside: the provided headphones are awkward to place in your ears and can screw with the audio quality, but you can easily swap those out.

Overall a Great Upgrade; nice work Roku.",1.0
"Don't waste your money on this product. Not user friendly, difficult to install. I would speculate they are sold in threes so you can get one to almost work.",0.0
Works well. The click is silent and the entire mouse is smooth.  Very happy with my purchase.,1.0
"Arrived way sooner than expected, was in perfect condition! As a professional photographer in a digital world, I can't wait to try my hand at film again. It has been many years since I used a film camera and now with the knowledge I have, I am super excited to have this in my possession!",1.0
"This is not an audio convertor. Although the title clearly says it's a stereo cable, the description fits an audio convertor, which had me confused and I ended up buying a product I didn't need.",0.0
"Had doubts about this product due to its price, but decided to purchase anyway.

Product packaging is thin and includes 2 small Phillips screws and the mSATA SSD.

Fits inside Drobo's mSATA Accelerator Bay, but not compatible or recognized by the system.

Thank you, Amazon for accepting my return request.",0.0
"poor image quality in a lot of issues not really happy with this
 item. picture quality is really bad bad",0.0
"Although this GPS is well made and most importantly waterproof it is difficult for a novice like myself to use. The instructions are confusing and without spending a lot of time experimenting with instructions in hand it will take a lot of time to master. The back light is rather weak even in total darkness. It would be well worth the money to spend more on a more user friendly GPS with a color screen with more points of reference such as rivers, roads, towns, etc.",0.0
"This is the second one I bought!  Love the look, and the feel!  Both units started uncontrolable double clicking after apx year!  I tried to adjust the click with my computer, with no good results on the first unit!  I was hoping it was a fluke, and ordered this one. Unfortunately this mouse did exactly the same!  Would delete two messages instead of one!  Looks cool, but doesn't work long enough to justify the money!",0.0
"These discs are worthless. Half of them do not work. They are not balanced well, and cause your burner to hum,whine and wobble. Avoid them like the plague",0.0
"I really liked the headphones, they are light and comfortable, and I don't even feel them while walking. The sound is pretty good too, setup was easy, and initially was happy.

The problem came when I tried to use them while walking, the sound kept cutting in and out. If I had my iPhone7 in my hand or breast pocket, there was no sound issues, but as soon as it went in my back pocket, it started cutting out again.
I contacted skullcandy for support who gave me some troubleshooting to do. I tried the steps and no improvement.
They provided more steps which involved leaving the headphones powered off for 24hrs. This is where I started to get annoyed as they refused to advise why I needed to leave them for 24hrs. I asked 3 times for the reasons behind this. I have done technical support in one for or another for 18yrs and know that this is just a fob off.

I ended up returning the headphones to he point of purchase for a refund.",0.0
"I've tried many wireless bluetooth headsets and this is by far the best.  I'm a truck driver and when I talk to someone they can't hear any of the background noise from the truck and I can hear them perfectly.  It's also so comfortable that I often forget I'm wearing it.
Update on 3/8/2016.  I really hate this bluetooth.  I thought it was just like my Voyager Legend but it isn't.  It doesn't talk to you to tell you it's on or needs charging or to say you're getting a call, nothing.  The Legend tells you if it needs to be recharged.  This one will just turn off without notification.  It sucks and I don't even use it.  I bought two more of the Legends recently and will ONLY use them.  On the Legend you can push a button and it tells you how much talk time you have left before needing to be charged and it also announces who is calling.  This one just doesn't talk at all.",0.0
"BEWARE!!
This charger is specified at 15V output (see the features listed in the item's description on this page above), while the Philips QG3330, for example, is rated at 4.3V (stamped on the shaver body). Philips has a variety of shavers/trimmers, some of them indeed require 15V to charge, but some don't! In short, you need to match the charger to the device.

This is totally irresponsible of Amazon, after people complaining that the charger overheats and destroys the trimmer's battery, to still list erroneous compatibility list that kills attached devices.",0.0
"I replaced an old Monoproce 4 port switch with this one as I was having trouble with the output with my Uverse receiver and PS3.  After replacing it with the Kinivo, I have clear and stable pictures and everything switches great.

The only con I have are the ports on the sides.  I'd rather have all the ports on the back.",1.0
"First, I never rate anything 5 stars because there is always room for improvement. I purchased this to replace my nexus10, since WiFi is not currently working with recent updates. This serves its purpose. 95% of what I do for work and leisure is on the internet. It boots in seconds and is very snappy. If opening a large file, don't expect it to run like your jacked up desktop( but that's why it's less money). This also serves as my laptop. Any word processing can be handled through Google docs, and isn't a problem if you are familiar with Google products. If you aren't it may take a little learning as with anything new. Overall great buy for the money and serves the purpose needed. I don't know if there is a need to buy a more expensive chromebook.",1.0
"I never review products but this headset is the absolute worst. Since March I've gone through three of these headsets. My work honestly needs to invest in a better quality headset. When they work they are fine but after a month or two I can only hear out of one headphone and the wiring in the cord seems to create a lot of the issues. If the cord moves, I hang up on customers. If you are looking to purchase these, splurge on a higher quality headset.",0.0
"IPad arrived and appeared new in packaging.  However, the 16GB iPad only had 6.1GB of space available. Tons of pictures already on it, and we couldn't delete them.  Also, it had tons of apps installed that weren't listed in the descruption on the website.  We couldn't delete the apps or open them.",0.0
"I've had  3 Panasonic TG2730 for  over 4 years .The origal Panasonic batteries won't last  9 months . The Energizer Bunny is definitely the best, I can  get  almost  2 years  service out  of  the ER-P511 .I  find  DBRoth to  have  the  best prices ,other places over charge on the  shippping.

Ben",1.0
"I searched for Iphone Chargers braided and scrolled to a color I liked. I bought it not even thinking I should check to make sure that it was, in fact, for an Iphone... I feel like this is probably more of an Amazon problem, then a product problem. It wasn't worth it to return it because of the shipping. I did end up using them and randomly 2 of my few items stopped working. It could have just been a coincidence though.",0.0
"I have my own Tech business and use multiple drives i have one for my mac programs, one for windows, and also install usb and this helped out so much and i would be purchasing more in the future",1.0
"I found that Sharp VLz7u is good enough for me.  I normally use it for record the activity around my house.  I chose this model because of its swivel grip.  It gives me convenient in many recording angle (e.g. over the head and low angle view).
The thing I like about this camcorder are:
  -  1.3MP photo shot
  -  built in flash (for camera mode)
  -  terminal for Zoom mic (though I cannot find Sharp's Zoom mic available anywhere at this time)
  -  and other features that should be available in other camcorder (e.g. 10x zoom, digital effect, stabilizer, etc)
The things I want to have in the camcorder (though it's not a big deal to me) are:
  -  Microphone input
  -  night shot mode
Since this is my first camcorder, I don't know if other camcorder have better picture quality or not.  But it looks good to me both on TV and after captured onto computer.
For home movie, outdoor/indoor activity, events, you will love this camcorder.  For those who look for high quality picture, or professional movie, you probably should go for other model.",1.0
The Wifi was constantly disconnecting and the worst part is NONE of my usb drives wouldn't recognize it. My first disappoint from Sandisk.,0.0
"Worked well-very convenient--just remember it is NOT a converter or transformer.  Items that are dual current such as cell phones, camera chargers etc. fit plugs and are very convenient.",1.0
"These are garbage. Purchased 3 different pairs for my kids to use with their tablets (frozen, spiderman, TMNT) they are all junk. Sound is so low you can barely even hear anything. I tried them out on a bunch of different devices so I know it wasn't an issue with the kids tablets. Don't buy these, they're usless!",0.0
"I can only get 3 channels to work properly.
I either don't get reception for other channels or the signal is choppy at best.
Waste of money.",0.0
"We bought these for use on camping trips with our grandchildren and for kayaking. At this time, I have only used them once on a camping trip. They worked very well. I did not measure distances, but they worked well for our purposes.

The only problem I have with this product is that one of the holster broke as soon as I took it out of the box.",1.0
"Hey, if you want to get great quality sound from your MP3s and other music files, use this great device called the HiFi-Link from Xitel. I get terrific quality sound using this little DAC device...Great value. I travel with it also. I can plug it into my stereo speakers at home or my boombox when I'm on the road and hear my MP3s with crystal clear sound.",1.0
Item broke after three wearings.  Wasn't even tight. Cheaply made. Don't waste your money. Go to a fabric store and purchase materials to make your own. Disappointed.,0.0
"Ordered this radio on accident but absolutely love it and have bought two more since.  Excellent quality for the price.  Long battery life, too.",1.0
"Good camera, but the mount design limits applications. On the unit I received, the mount angle is too limited to attach to my window. Had to purchase a $20 suction cup mount. Application: 2008 Subaru

Edit: After using for a month, I noted the following issues: 1) Every 4-5 starts, I'd have to reset the time/date before it would start auto-recording. All settings would be lost 2) Even after setting time/date, unit would occasionally not auto-record. Maybe I just got a lemon, but returned my unit. I liked the unit, other than the mount design & time issues.",0.0
